Araucanian;1, 01, 010, 0102, 01020, 010202, 0102020, 01020202

Atayal;1, 01, 001, 0001, 00001, 000001, 0000001, 00000001

Biangai;1, 10, 210, 2010, 22010, 202010, 2202010, 20202010

Cavinena;1, 10, 010, 2010, 02010, 202010, 0202010, 20202010

Cayuvava;1, 10, 100, 0100, 00100, 200100, 0200100, 00200100

Central Alaskan Yupik;1, 01, 021, 0201, 02021, 020201, 0202021, 02020201

Chitimacha;1, 10, 100, 1000, 10000, 100000, 1000000, 10000000

Creek;1, 01, 010, 0201, 02010, 020201, 0202010, 02020201

Estonian (data from Hint 1973);1, 10, 100, 1020, 10200, 10020, 102020, 100200, 1020200, 1020020, 1002020, 10202020, 10200200, 10020200, 10020020

Garawa;1, 10, 100, 1020, 10020, 102020, 1002020, 10202020

Georgian;1, 10, 100, 0100, 20100, 200100, 2000100, 20000100

Gosiute Shoshone;1, 12, 102, 1022, 10202, 102022, 1020202, 10202022

Hopi;1, 10, 010, 0100, 01000, 010000, 0100000, 01000000

Indonesian;1, 10, 010, 2010, 20010, 202010, 2002010, 20202010

Ioway-Oto;1, 01, 010, 0100, 01002, 010020, 0100200, 01002002

Lakota;1, 01, 010, 0100, 01000, 010000, 0100000, 01000000

Lower Sorbian;1, 10, 100, 1020, 10020, 100020, 1000020, 10000020

Macedonian;1, 10, 100, 0100, 00100, 000100, 0000100, 00000100

Malakmalak;1, 10, 010, 1020, 01020, 102020, 0102020, 10202020

Maranungku;1, 10, 102, 1020, 10202, 102020, 1020202, 10202020

Nahuatl;1, 10, 010, 0010, 00010, 000010, 0000010, 00000010

Pacific Yupik;1, 01, 010, 0102, 01002, 010020, 0100202, 01002002

Palestinian Arabic;1, 10, 201, 2010, 20201, 202010, 2020201, 20202010

Pintupi;1, 10, 100, 1020, 10200, 102020, 1020200, 10202020

Piro;1, 10, 010, 2010, 20010, 202010, 2020010, 20202010

Quebec French;1, 21, 201, 2001, 20001, 200001, 2000001, 20000001

Sanuma;1, 10, 010, 2010, 20010, 200010, 2000010, 20000010

Southern Paiute;1, 10, 010, 0120, 01020, 010220, 0102020, 01020220

Tauya;1, 21, 201, 2201, 20201, 220201, 2020201, 22020201

Udihe;1, 01, 201, 2001, 20001, 200001, 2000001, 20000001

Urubu Kapor;1, 01, 201, 0201, 20201, 020201, 2020201, 02020201

Walmatjari (data from Hudson 1978);1, 10, 100, 1020, 10200, 10020, 100200, 100020, 1000200, 1000020, 10000200, 10000020

Winnebago;1, 01, 001, 0010, 00102, 001002, 0010020, 00100202
